#読み込みがうまくいかないときはこのファイルの文字コードをUTF-8→ANSIにする

##から開始する行は読み込みの際に無視されます。
#ステージ番号,領域番号,腕タイプ,移動量,停止位置,移動時間(ミリ秒),停止時間(ミリ秒),標的タイプ,標的座標x,y,戻し速度
#腕タイプ(0:水平右手(左から),1:水平左手(右から),2:垂直右手(上から),3:垂直左手(下から)の壁版,4,5,6,7はブロック版)
#停止位置は腕タイプが水平ならindexX、垂直ならindexYを入れる
#標的タイプ(0:攻撃しない,1:プレイヤー,2:固定位置) 標的タイプが固定位置なら標的座標を設定する。
#標的座標は停止位置で上書きされる。
#領域番号が指定されていない場所は領域番号0扱い。
#戻し速度は1秒間に動くブロック数(整数)。負の値を入れたら攻撃時の速度と同じ


0,1,1,30, 76,900,4500,2,76,197,15
0,2,0,30, 79,900,3000,2,79,189,15
0,3,2,30,185,900,3000,2,72,185,15
0,4,3,30,157,1500,3000,2,77,157,15
0,5,1,30,102,900,3000,2,102,136,15
0,6,2,30,134,900,3000,2,125,134,15
0,7,2,30,126,900,3000,2,142,126,10
0,8,0,30,157,450,3500,1,0,0,20
0,9,0,30, 52,900,3000,2,52,215,10
0,10,5,25,167,900,3000,2,167,239,10


1,1,1,30, 31,900,3000,2,31,211,40
1,2,1,30, 42,900,3000,1, 0,  0,10
1,3,1,25, 52,900,3000,1, 0,  0,10
1,4,1,30, 71,900,3000,1, 0,  0,10
1,5,2,30,154,900,3000,1, 0,  0,10
1,6,2,30,137,900,3000,1, 0,  0,10
1,7,1,30, 50,900,4500,2,50, 96,10
1,8,3,30, 67,900,3000,1, 0,  0,10
1,9,1,30, 27,900,3000,1, 0,  0,10
1,12,2,30,104,900,1500,2,40,104,40

#洞窟
1,10,7,20,239,500,4500,2,86,239,40
1,11,7,20,238,500,4500,2,114,238,40


2,1,0,30, 57,900,4500,2,57,205,40
2,2,2,25,198,900,4500,2,37,198,40
2,3,3,30,169,900,4000,1, 0,  0,20
2,4,0,25, 44,900,4000,1, 0,  0,10
2,5,0,25, 57,900,4000,1, 0,  0,15
2,6,0,25, 66,900,4000,1, 0,  0,15

2,8,0,20, 88,900,4500,1, 0,  0,10
2,12,1,30,92,1000,4500,2,92,51,40
#洞窟
2,9,4,20,90,500,4500,2,90,237,40
2,10,5,20,107,500,4500,2,107,241,40
2,11,7,20,225,500,4500,2,139,225,40

3,1,1,25, 47,900,3000,2,47,208,40
3,2,1,25, 43,900,3000,2,43,189,15
3,3,1,25, 29,900,3000,1, 0,  0,15
3,4,1,25, 42,900,3000,1, 0,  0,15
3,5,1,25, 75,900,3000,1, 0,  0,15
3,6,1,25, 80,900,3000,2, 80,53,15

#洞窟
3,8,4,50,180,2000,3000,2,180,246,40
3,9,7,20,184,500,4500,2,116,184,40
3,10,7,20,181,500,4500,2,135,181,10

4,1,0,30, 50,900,3000,2,50,208,40
4,2,0,30, 47,900,3000,1,0,0,20
4,3,0,30, 39,900,3000,2,39,177,20
4,5,0,30, 55,900,3000,1,0,0,20
4,6,0,30,100,750,3000,2,100,79,20
4,7,0,30, 46,750,3000,1,0,0,20
4,8,0,30, 85,750,3000,2,85,74,20
4,9,0,30, 96,750,3000,1,0,0,20
4,13,0,30, 95,750,3000,2,95,85,20

#洞窟
4,10,4,20,136,1500,3000,2,136,238,40
4,11,7,20,193,500,3000,2,120,193,40
4,12,6,20,186,500,3000,2,136,186,40

5,1,3,30,188,1200,3000,2,31,188,40
5,2,0,25,53,1000,3000,2,53,185,40
5,3,1,25,40,1000,3000,1, 0,  0,20
5,4,3,30,151,500,1500,1,0,0,25
5,5,0,20,73,500,1500,2,73,148,25
5,6,2,30,150,1000,3000,2,76,150,25
5,7,3,30,146,1000,4500,2,76,146,25
5,8,3,30,112,500,1500,2,83,112,25
5,9,0,25,104,500,1500,2,104,116,25
5,10,1,25,105,500,1500,2,105,116,25
5,11,3,30,112,1000,1500,1,0,0,25
5,12,3,25,107,1000,4500,2,117,107,25

#洞窟
5,13,7,20,236,500,3000,2,129,236,40
5,14,7,20,189,500,1500,2,120,189,40
5,15,7,30,176,500,3000,2,140,176,40

6,1,1,30,41,500,1500,2,41,206,25
6,2,1,30,51,500,2000,2,51,194,25
6,3,1,30,58,1000,2000,2,58,179,15
6,4,1,30,50,1000,2000,1,0,0,15
6,5,1,25,78,1000,2000,2,78,162,20
6,6,1,30,98,1000,3000,1,0,0,20
6,7,1,30,106,1000,3000,2,106,116,25
6,8,0,30,142,1000,2500,2,142,104,15
6,9,1,30,126,1000,2500,2,126,88,15
6,10,1,30,127,1000,2500,2,127,70,15

#洞窟
6,11,4,20,120,500,1000,2,120,239,40
6,12,4,40,142,500,1000,2,142,236,40
6,13,4,40,92,1000,3000,2,92,217,-1
6,14,4,40,99,1000,3000,2,99,217,-1

7,1,1,30,43,500,1500,2,43,198,25
7,2,1,30,50,1000,2000,1,0,0,20
7,3,1,30,67,1000,2000,2,67,169,15

7,5,2,25,161,1000,2000,1,0,0,15
7,6,1,30,92,1000,2000,1,0,0,15
7,7,1,30,103,1000,5500,2,103,111,25
7,8,0,30,138,1000,4500,2,138,94,15
7,9,0,30,146,1000,4500,2,146,78,15
7,10,1,30,127,1000,3500,1,0,0,15

#洞窟
7,11,4,40,125,1000,3000,2,125,231,40
7,12,4,40,125,1000,3000,2,125,225,40
7,13,5,40,123,1000,4000,2,123,210,20


8,1,0,25,36,1200,3000,2,36,200,40
8,2,0,25,35,1000,3000,2,35,182,40
8,3,1,25,38,1000,3000,2,38,184,40
8,4,1,25,47,1000,3000,1,0,0,20
8,5,1,25,63,1000,3000,1,0,0,20
8,6,3,25,190,1000,3000,2,60,190,20

8,7,1,20,42,1000,6000,2,42,150,25
8,8,2,20,149,1000,3000,2,69,146,25
8,9,1,30,76,1000,2000,1,0,0,20
8,10,2,30,135,1000,2000,1,0,0,20

8,11,0,30,91,1000,3000,2,91,93,25
8,12,1,30,72,1000,3000,1,0,0,25
8,13,3,30,74,1000,2000,2,96,74,40
8,14,3,30,61,750,2000,2,104,61,40
8,15,3,30,48,750,2000,2,96,48,40
8,16,1,30,110,500,2000,2,110,41,30
8,17,0,30,123,500,2000,1,0,0,30
8,18,3,30,22,500,2000,2,129,22,40
8,19,0,30,126,500,2000,1,0,0,30
8,20,1,30,132,500,2000,1,0,0,30
8,21,3,30,3,500,2000,1,0,0,30
8,22,0,30,131,500,2000,2,131,6,30
8,23,1,30,127,500,2000,2,127,6,30
8,24,1,30,69,1000,3000,1,0,0,25
8,25,1,30,5,750,3000,2,5,209,20

#洞窟
8,26,4,30,198,1000,3000,2,198,170,40
8,27,4,40,215,1000,4500,2,215,170,40
8,28,4,40,99,1000,3000,2,99,240,-1
8,29,4,40,130,1000,4500,2,130,219,40
8,30,4,30,139,500,3000,2,139,212,40
