#読み込みがうまくいかないときはこのファイルの文字コードをUTF-8→ANSIにする

##から開始する行は読み込みの際に無視されます。
#動く床・壁の移動距離(ブロック数)、移動時間、停止時間(ミリ秒)等を設定します。
#種別...0:ブロック、1:壁、2:ギミックで動くブロック、3:ギミックで動く壁
#ステージ番号,壁ID,種別,移動距離x,移動距離y,移動時間,停止時間,大きさx,大きさy,使用画像タイプ(0,1,2)


1,0,2,-3, 0,500,0,3,1,0
1,1,2,0,-3,500,0,1,3,0
1,2,2,0,-3,500,0,1,3,0
1,3,2,0,-3,500,0,1,3,0

2,0,3, 0,-11,2000,0,5,5,0
2,1,3, 0,-19,1500,0,5,5,0
2,2,3, 0, -7,1500,0,5,5,0
2,3,3, 0, -9,1500,0,5,5,0

2,6,3, 9,  0,3000,0,5,5,0
2,7,3, 0,-30,5000,0,3,3,0

2,8,3, 0, -9,2000,0,5,5,0
2,9,3, 0, -9,2000,0,5,5,0


2,6,2, 0, -3,1000,0,1,3,0

3,0,2, 0, -3,500,0,1,3,0
3,11,3,0,0,0,0,3,3,0

4,0,2,-3,0,500,0,3,1,0

5,0,3,0, -18,750,0,5,5,0
5,1,3,0,-14,1000,0,5,5,0
5,2,2,0,-3,500,0,1,3,0

6,0,2,0,-3,2000,0,1,3,0

7,0,2,15,0,3500,0,3,1,0
7,1,0, 0,-6,2000,500,1,3,0
7,2,0, 0,6,2000,500,1,3,0
7,3,0, 0,-6,2000,500,1,3,0
7,4,2,0,-3,500,0,1,3,0
#洞窟
7,5,0,21,0,4000,0,3,1,0

8,0,2,16,0,2500,0,3,1,0

8,1,2,0,-8,5000,0,3,3,1
